Books
And Then There Were None 
Murder on the Orient Express 
The Girl with the Dragon Tattoo 
Gone Girl 
The Girl on the Train 
The Da Vinci Code 
The Silent Patient 
The Mysterious Affair at Styles 
One of Us Is Lying 
The 7 1/2 Deaths of Evelyn Hardcastle 
The Inheritance Games 
The Murder of Roger Ackroyd 
The Cuckoo's Calling 
Angels & Demons 
The Thursday Murder Club 
A Study in Scarlet 
The Guest List 
In the Woods 
Death on the Nile 
Still Life 
The Hound of the Baskervilles 
The Girl Who Played with Fire 
Sharp Objects 
The Sweetness at the Bottom of the Pie 
Where the Crawdads Sing 
The Maid 
The Adventures of Sherlock Holmes 
"Truly, Devious "
We Were Liars 
The A.B.C. Murders 
Murder at the Vicarage 
The Girl Who Kicked the Hornet’s Nest 
Rebecca 
Dark Places 
One for the Money 
"Good Girl, Bad Blood "
The Silkworm 
The Woman in Cabin 10 
The Secret History 
The Westing Game 
Magpie Murders 
Verity 
The Hawthorne Legacy 
The Shadow of the Wind 
The No. 1 Ladies' Detective Agency 
If We Were Villains 
The Lost Symbol 
The Woman in the Window 
The Curious Incident of the Dog in the Night-Time 
The Last Thing He Told Me 
The Sign of Four 
Maisie Dobbs 
The Body in the Library 
The Murder on the Links 
A Fatal Grace 
Career of Evil 
The Paris Apartment 
The Beekeeper's Apprentice 
As Good As Dead 
The Lovely Bones 
The Complete Sherlock Holmes 
Crocodile on the Sandbank 
A Is for Alibi 
Big Little Lies 
The Dry 
The Likeness 
The Thirteenth Tale 
The Man Who Died Twice 
Whose Body? 
Then She Was Gone 
The Final Gambit 
Inferno 
The Name of the Rose 
Hallowe'en Party 
The Big Sleep 
The Cruelest Month 
Everyone in My Family Has Killed Someone 
Two for the Dough 
One of Us Is Next 
A Curious Beginning 
A Murder Is Announced 
Hercule Poirot's Christmas 
Storm Front 
Peril at End House 
The Alienist 
The Maidens 
Ninth House 
The Maltese Falcon 
Evil Under the Sun 
The Mystery of the Blue Train 
The Vanishing Stair 
A Study in Charlotte 
A Rule Against Murder 
The Secret Adversary 
The Weed That Strings the Hangman's Bag 
Naked in Death 
The Turn of the Key 
Stalking Jack the Ripper 
Sadie 
The Woman in White 
The Hunting Party 
"In a Dark, Dark Wood "
The Death of Mrs. Westaway 
4:50 from Paddington 
Lethal White 
Into the Water 
Finlay Donovan Is Killing It 
Crooked House 
The Brutal Telling 
Faithful Place 
Five Little Pigs 
Three to Get Deadly 
Cards on the Table 
The Secret of the Old Clock 
The Naturals 
The Bullet That Missed 
The Housemaid 
The Word is Murder 
The Big Four 
Bury Your Dead 
Two Can Keep a Secret 
The Moonstone 
Vera Wong's Unsolicited Advice for Murderers 
The Beautiful Mystery 
Murder in Mesopotamia 
A Study in Scarlet Women 
Four to Score 
The Sun Down Motel 
The Hand on the Wall 
Appointment with Death 
A Trick of the Light 
The Family Upstairs 
Lord Edgware Dies 
Death in the Clouds 
The Moving Finger 
How the Light Gets In 
Death Comes to Pemberley 
The Memoirs of Sherlock Holmes 
Poirot Investigates 
A Red Herring Without Mustard 
Case Histories 
Mexican Gothic 
High Five 
Broken Harbor 
The Woman in the Library 
Hot Six 
The Man in the Brown Suit 
The Couple Next Door 
1st to Die 
Déjà Dead 
Firekeeper’s Daughter 
Shutter Island 
The Mirror Crack'd from Side to Side 
Before I Go to Sleep 
The Cousins 
Along Came a Spider 
None of This Is True 
A Pocket Full of Rye 
Seven Up 
Miss Peregrine's Home for Peculiar Children 
Pretty Girls 
Rivers of London 
A Caribbean Mystery 
The Secret Place 
Sleeping Murder 
Postmortem 
Rock Paper Scissors 
A Flicker in the Dark 
Mr. Penumbra's 24-Hour Bookstore 
Hard Eight 
Cat Among the Pigeons 
The Long Way Home 
Wrong Place Wrong Time 
Arsenic and Adobo 
The Only One Left 
The Last Devil to Die 
I Am Half-Sick of Shadows 
The Crossing Places 
The Searcher 
Her Royal Spyness 
Night Film 
To the Nines 
Curtain 
At Bertram's Hotel 
Deception Point 
After the Funeral 
The Nature of the Beast 
The Eyre Affair 
One by One 
Killing Floor 
A Great Reckoning 
A Morbid Taste for Bones 
Birds of a Feather 
Dead Until Dark 
Three Act Tragedy 
Cocaine Blues 
Sad Cypress 
The Book of Cold Cases 
Everything I Never Told You 
They Do It With Mirrors 
The Black Echo 
The Trespasser 
Glass Houses 
Strong Poison 
The Broken Girls 
The Witch Elm 
Speaking from Among the Bones 
Gaudy Night 
Digital Fortress 
Eleven on Top 
The Return of Sherlock Holmes 
The House of Silk 
B is for Burglar 
Nemesis 
Ten Big Ones 
Dumb Witness 
Twelve Sharp 
Elephants Can Remember 
Five Survive 
Daisy Darker 
The Daughter of Time 
The Mysterious Benedict Society 
Chocolate Chip Cookie Murder 
Paper Towns 
Eight Perfect Murders 
Lock Every Door 
The Devil and the Dark Water 
Dark Matter 
Lean Mean Thirteen 
We Have Always Lived in the Castle 
Home Before Dark 
The Clocks 
Local Woman Missing 
The Hollow 
Force of Nature 
The Dead in Their Vaulted Arches 
Dr. Jekyll and Mr. Hyde 
The Hidden Staircase 
Fearless Fourteen 
The Last Time I Lied 
The Case of the Missing Marquess 
Clouds of Witness 
Killers of a Certain Age 
All the Missing Girls 
Silent in the Grave 
Kingdom of the Blind 
The Curse of the Pharaohs 
The Thirteen Problems 
"One, Two, Buckle My Shoe "
A Great Deliverance 
The It Girl 
Final Girls 
C is for Corpse 
The Lost Man 
The Lost Apothecary 
The Box in the Woods 
Finger Lickin' Fifteen 
Moonflower Murders 
Mr. Mercedes 
The Thousand-Dollar Tan Line 
Piranesi 
The Valley of Fear 
Real Murders 
Troubled Blood 
Glory in Death 
Ace of Spades 
Behind Closed Doors 
The Lying Game 
Defending Jacob 
A Monstrous Regiment of Women 
Mrs. McGinty's Dead 
The Outsider 
Fool Moon 
Hickory Dickory Dock 
As Chimney Sweepers Come to Dust 
The Silence of the Lambs 
Dead Man's Folly 
The Snowman 
The Snowman 
The Snowman 
The Diviners 
Tears of the Giraffe 
The Lincoln Lawyer 
Endless Night 
Heat Wave 
A Better Man 
All the Devils Are Here 
Flaggermusmannen 
Pardonable Lies 
The Husband's Secret 
D is for Deadbeat 
Third Girl 
Joyland 
The Thin Man 
The Surgeon 
Sometimes I Lie 
Mystic River 
The Devotion of Suspect X 
Why Didn't They Ask Evans? 
The Cold Dish 
Origin 
Cover Her Face 
Kiss the Girls 
The Quiche of Death 
Raven Black 
Smokin' Seventeen 
"My Sister, the Serial Killer "
The Widows of Malabar Hill 
Unnatural Death 
Jackaby 
The Forgotten Garden 
The Reappearance of Rachel Price 
A Time to Kill 
Tell No One 
Sizzling Sixteen 
The House Across the Lake 
The Whisper Man 
Anxious People 
The Nine Tailors 
A Perilous Undertaking 
The Secret of Chimneys 
The Wife Between Us 
Sparkling Cyanide 
How to Solve Your Own Murder 
The Good Daughter 
Pretty Little Liars 
In Cold Blood 
Death at La Fenice 
Mistress of the Art of Death 
E is for Evidence 
The Historian 
Murder Must Advertise 
N or M? 
Grave Sight 
The Spellman Files 
Explosive Eighteen 
The Keeper of Lost Causes 
The Night She Disappeared 
Immortal in Death 
Faceless Killers 
The Bad Beginning 
The Bone Collector 
F is for Fugitive 
First Lie Wins 
Apples Never Fall 
Darkly Dreaming Dexter 
Midnight at the Bright Ideas Bookstore 
Messenger of Truth 
The Seven Dials Mystery 
The Mystery Guest 
The Mummy Case 
The Cheerleaders 
Miracle Creek 
Body of Evidence 
And Only to Deceive 
Midnight in the Garden of Good and Evil 
Thrice the Brinded Cat Hath Mew'd 
The Chalk Man 
A Conspiracy in Belgravia 
In My Dreams I Hold a Knife 
Taken at the Flood 
G is for Gumshoe 
I Have Some Questions for You 
The Sanatorium 
What Angels Fear 
A Letter of Mary 
You'll Be the Death of Me 
The Wife Upstairs 
The Labours of Hercules 
The Sittaford Mystery 
The Good Girl 
The Stranger Diaries 
The Survivors 
The Madness of Crowds 
The Pelican Brief 
Red Dragon 
Hidden Pictures 
The Sentence is Death 
The Cat Who Could Read Backwards 
Long Bright River 
Partners in Crime 
Kill Joy 
The Appeal 
H is for Homicide 
Never Lie 
Busman's Honeymoon 
The Haunting of Hill House 
A Treacherous Curse 
I is for Innocent 
An Unwanted Guest 
Living Dead in Dallas 
Murder in the Mews 
A World of Curiosities 
J is for Judgment 
2nd Chance 
Finlay Donovan Knocks 'Em Dead 
Murder Is Easy 
By the Pricking of My Thumbs 
Killer Instinct 
The Pale Horse 
Ordeal by Innocence 
The Girl in the Spider's Web 
The Brothers Hawthorne 
The Blessing Way 
Notorious Nineteen 
Caraval 
M is for Malice 
Death Comes as the End 
The Cartographers 
Everyone on This Train Is a Suspect 
The Marlow Murder Club 
Hunting Prince Dracula 
Magic for Liars 
The Anatomist's Wife 
"Where'd You Go, Bernadette "
Before the Fall 
An Incomplete Revenge 
Grave Peril 
I Let You Go 
Morality for Beautiful Girls 
The Unpleasantness at the Bellona Club 
The Perfect Marriage 
The Body Farm 
All the Dangerous Things 
Have His Carcase 
Every Heart a Doorway 
K is for Killer 
All Good People Here 
Death du Jour 
The Cater Street Hangman 
Visions of Sugar Plums 
Listen for the Lie 
Rapture in Death 
Nothing More to Tell 
Towards Zero 
The Unexpected Mrs. Pollifax 
The Lake House 
Pines 
When No One Is Watching 
Drive Your Plow Over the Bones of the Dead 
The Life We Bury 
The Bungalow Mystery 
Dissolution 
Black Coffee 
L is for Lawless 
Among the Mad 
The Grave's a Fine and Private Place 
Reconstructing Amelia 
The Mapping of Love and Death 
The Moor 
House of Leaves 
The Golden Spoon 
A Spy in the House 
The Night Swim 
Stillhouse Lake 
Iron Lake 
Perfume: The Story of a Murderer 
The Last Policeman 
The Ice Princess 
The Janus Stone 
Shakespeare's Landlord 
Club Dead 
Thirteen Reasons Why 
A Duty to the Dead 
A Beautiful Blue Death 
N is for Noose 
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America "
The Hangman's Daughter 
Takedown Twenty 
Mr. Churchill's Secretary 
Dial A for Aunties 
All That Remains 
Lion in the Valley 
Greenglass House 
U is for Undertow 
The Ink Black Heart 
The Client 
A Share in Death 
3rd Degree 
The City & the City 
Ceremony in Death 
R is for Ricochet 
The Firm 
Behind Her Eyes 
The Black Ice 
The Mystery at Lilac Inn 
Plum Lovin' 
The Name of the Star 
A Lesson in Secrets 
A Dangerous Collaboration 
The Plot 
S is for Silence 
The Screaming Staircase 
The Talented Mr. Ripley 
The God of the Woods 
The Secret Keeper 
A Test of Wills 
Devil in a Blue Dress 
Relic 
P is for Peril 
Grave Surprise 
O is for Outlaw 
The Case-Book of Sherlock Holmes 
The Redbreast 
Q is for Quarry 
Dog on It 
The Kalahari Typing School for Men 
The Butterfly Garden 
They Came to Baghdad 
The Monogram Murders 
I Hunt Killers 
My Sister's Grave 
What Lies in the Woods 
T is for Trespass 
Blindsighted 
Vengeance in Death 
Triptych 
Silent in the Sanctuary 
The Hollow of Fear 
Dead to the World 
Sworn to Silence 
The Murder of Mr. Wickham 
The Maze of Bones 
Cruel & Unusual 
Death of a Gossip 
The Angel's Game 
The Mother-in-Law 
The Housemaid's Secret 
The Secret of Shadow Ranch 
One Corpse Too Many 
A Bone to Pick 
Summer Knight 
A Royal Pain 
Moon Over Soho 
O Jerusalem 
The Violin Conspiracy 
I Am the Messenger 
Fer-de-Lance 
The Long Goodbye 
Watching You 
All In 
The Yiddish Policemen's Union 
Elegy for Eddie 
Dead as a Doornail 
Moriarty 
The Push 
"The Secret, Book & Scone Society "
The Black Dahlia 
"Tinker, Tailor, Soldier, Spy "
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer 
Top Secret Twenty-One 
Holiday in Death 
V is for Vengeance 
Chasing Vermeer 
Ordinary Grace 
One Good Turn 
W is for Wasted 
The Tainted Cup 
Open Season 
The Fury 
Holes 
The Adventure of the Christmas Pudding 
The Five Red Herrings 
Memory Man 
Nine Liars 
"Farewell, My Lovely "
The Last House on Needless Street 
Harry Potter and the Sorcerer’s Stone 
The Poet 
An Ice Cold Grave 
Murder on Astor Place 
Knots and Crosses 
The Woods 
A Man Lay Dead 
The Long Call 
An Anonymous Girl 
The Dante Club 
A Line to Kill 
Mr. Kiss and Tell 
The Deeds of the Disturber 
The Concrete Blonde 
My Cousin Rachel 
From Potter's Field 
Definitely Dead 
The Golden Tresses of the Dead 
An Unsuitable Job for a Woman 
Conspiracy in Death 
Track of the Cat 
The Last Camel Died at Noon 
The Mysterious Mr. Quin 
One of Us Is Back 
4th of July 
The Winter People 
Malice 
Deadly Decisions 
Monday's Not Coming 
The Ruby in the Smoke 
The Unbecoming of Mara Dyer 
Belladonna 
Leaving Everything Most Loved 
Strawberry Shortcake Murder 
Plum Lucky 
I Found You 
The Last of August 
In the Bleak Midwinter 
Flying Too High 
The Colorado Kid 
Mother-Daughter Murder Night 
The Face of a Stranger 
Size 12 Is Not Fat 
Escaping from Houdini 
Odd Thomas 
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI 
First Grave on the Right 
Murder Your Employer: The McMasters Guide to Homicide 
Justice Hall 
Pride and Premeditation 
X 
No Exit 
Harry Potter and the Chamber of Secrets 
You 
Fatal Voyage 
Locked Rooms 
Girl Waits with Gun 
The Widow 
The Brass Verdict 
The Last Murder at the End of the World 
A History of Wild Places 
The Big Over Easy 
The Strange Case of the Alchemist's Daughter 
The Bourne Identity 
All Together Dead 
Remarkably Bright Creatures 
A Slow Fire Burning 
Dirk Gently's Holistic Detective Agency 
The Red House Mystery 
The Final Girl Support Group 
Postern of Fate 
The Reptile Room 
Plum Spooky 
Razorblade Tears 
His & Hers 
When Will There Be Good News? 
The Crow Trap 
The House at Sea's End 
Mad Honey 
Not a Happy Family 
The Game 
The Phantom of the Opera 
Payment in Blood 
Exiles 
Death Masks 
A Cold Day for Murder 
"Three Bedrooms, One Corpse "
When You Reach Me 
Witness in Death 
Cause of Death 
Heist Society 
The Full Cupboard of Life 
Loyalty in Death 
The Late Show 
The Shining 
The Last Coyote 
"Bluebird, Bluebird "
The Spy Who Came In from the Cold 
A Murderous Relation 
House of Hollow 
Rules of Prey 
A Quiet Life in the Country 
Blood Rites 
5th Horseman 
"Started Early, Took My Dog "
"The Snake, the Crocodile and the Dog "
Wilder Girls 
The Turn of the Screw 
Homecoming 
Survive the Night 
Finders Keepers 
Tricky Twenty-Two 
Well-Schooled in Murder 
Something in the Water 
Silent on the Moor 
The Girl Before 
The Night Shift 
Fool Me Once 
Grave Secrets 
Murder Most Unladylike 
The Language of Bees 
I'm Thinking of Ending Things 
Naked Heat 
Miss Marple: The Complete Short Stories 
The Art of Theft 
The Vicious Vet 
Meddling Kids 
Judgment in Death 
Death Without Company 
The Ruin 
From the Mixed-Up Files of Mrs. Basil E. Frankweiler 
Where Are the Children? 
Royal Flush 
The Villa 
City of the Lost 
Finlay Donovan Jumps the Gun 
Smilla's Sense of Snow 
The Rook 
Murder with Peacocks 
All the Sinners Bleed 
Bare Bones 
From Dead to Worse 
Happiness Falls 
The Agathas 
The Raven Boys 
Blueberry Muffin Murder 
The Overnight Guest 
Confessions 
Bad Blood 
Grave Secret 
The Case of the Left-Handed Lady 
On What Grounds 
The Clockmaker's Daughter 
Parker Pyne Investigates 
The Running Grave 
My Lovely Wife 
House of Salt and Sorrows 
Dead and Gone 
The Grownup 
Betrayal in Death 
Whispers Under Ground 
When the Stars Go Dark 
Deal Breaker 
The Decagon House Murders 
Yellowface 
The Hangman 
Three Blind Mice and Other Stories 
Death at Wentwater Court 
The Apprentice 
The Julius House 
Bones to Ashes 
"Bruno, Chief of Police "
The Club Dumas 
Lock In 
The Wide Window 
Alias Grace 
A Dangerous Place 
Escape from Mr. Lemoncello's Library 
The Twelve Clues of Christmas 
The Coroner's Lunch 
A Lady's Guide to Etiquette and Murder 
Angels Flight 
Portrait in Death 
Echo Park 
A Botanist's Guide to Parties and Poisons 
An Elderly Lady Is Up to No Good 
IQ 
Catering to Nobody 
Dance Hall of the Dead 
The 39 Steps 
A Room Full of Bones 
The God of the Hive 
Once There Were Wolves 
Die Trying 
Shakespeare's Champion 
The 6th Target 
A Drink Before the War 
The Hippopotamus Pool 
The Man in the Queue 
Murphy's Law 
Royal Blood 
Spells for Forgetting 
Murder is Binding 
Monk's Hood 
The Boy from the Woods 
The Innocence of Father Brown 
Aunt Dimity's Death 
Break No Bones 
Unnatural Exposure 
Monday Mourning 
The Goldfinch 
Murder on the Ballarat Train 
The Sunday Philosophy Club 
Cross Bones 
Murder on Black Swan Lane 
Elizabeth Is Missing 
In the Company of Cheerful Ladies 
Turbo Twenty-Three 
Point of Origin 
The Last Flight 
White Nights 
Jack & Jill 
City of Bones 
The Last House Guest 
